Country Code,ro.product.model,CID,E-Label
CN,ASUSAI2501A,ASUS,ASUS_CN_Elabel_20240910
WW,ASUSAI2501B,ASUS,ASUS_WW_Elabel_20241204_B
JP,ASUSAI2501B,ASUS,ASUS_WW_Elabel_20241204_B
TW,ASUSAI2501B,ASUS,ASUS_WW_Elabel_20241204_B
HK,ASUSAI2501B,ASUS,ASUS_WW_Elabel_20241204_B
EU,ASUSAI2501B,ASUS,ASUS_WW_Elabel_20241204_B
US,ASUSAI2501D,ASUS,ASUS_AI2501D_Elabel_20241111
JP,ASUSAI2501C,ASUS,ASUS_WW_Elabel_20241204_C
TW,ASUSAI2501C,ASUS,ASUS_WW_Elabel_20241204_C
ID,ASUSAI2501C,ASUS,ASUS_WW_Elabel_20241204_C
HK,ASUSAI2501C,ASUS,ASUS_WW_Elabel_20241204_C
WW,ASUSAI2501C,ASUS,ASUS_WW_Elabel_20241204_C
EU,ASUSAI2501C,ASUS,ASUS_WW_Elabel_20241204_C
US,ASUSAI2501E,ASUS,ASUS_AI2501E_Elabel_20241111
MC,ASUSAI2501A,ASUS,Media
MTW,ASUSAI2501B,ASUS,Media
MTW,ASUSAI2501C,ASUS,Media
MS,ASUSAI2501B,ASUS,Media
MS,ASUSAI2501C,ASUS,Media
MJ,ASUSAI2501B,ASUS,Media
MJ,ASUSAI2501C,ASUS,Media
MUS,ASUSAI2501D,ASUS,Media
MUS,ASUSAI2501E,ASUS,Media
